DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
201	 -4.318	 0.128	 35.8	 115.1	 21.8	 16.8	 9.3	 0.190	 76.6	 0.000	 1.0	
202	 -0.583	 0.137	 25.6	 79.2	 25.4	 17.0	 9.3	 0.300	 88.0	 0.730	 1.0	
203	 -2.310	 0.102	 39.3	 113.3	 129.3	 17.3	 9.4	 0.290	 NaN	 0.000	 1.1	
204	 -3.762	 0.110	 37.1	 68.2	 195.3	 17.4	 9.4	 0.260	 NaN	 0.000	 1.1	
205	 -3.044	 0.099	 35.0	 101.9	 186.8	 17.3	 9.5	 0.240	 NaN	 0.000	 1.0	
206	 -2.058	 0.083	 28.3	 42.0	 46.9	 17.2	 9.6	 0.200	 NaN	 0.000	 1.0	
207	 -4.339	 0.127	 37.2	 108.0	 77.8	 17.0	 9.6	 0.180	 NaN	 0.000	 1.0	
208	 -4.195	 0.143	 32.1	 118.5	 20.7	 17.1	 9.7	 0.150	 NaN	 0.000	 0.9	
209	 -3.452	 0.144	 34.7	 122.1	 20.3	 17.2	 9.7	 0.130	 NaN	 0.000	 0.9	
210	 -3.180	 0.130	 29.4	 116.4	 21.5	 17.3	 9.8	 0.100	 NaN	 0.000	 0.8	
211	 -2.530	 0.128	 27.2	 141.2	 22.0	 17.5	 9.8	 0.070	 NaN	 0.000	 0.7	
212	 -2.545	 0.127	 28.5	 140.3	 22.1	 17.6	 9.9	 0.040	 NaN	 0.000	 0.7	
213	 -2.711	 0.144	 24.5	 119.5	 21.6	 17.8	 9.9	 0.020	 -6999.0	 0.000	 0.6	
214	 -4.371	 0.123	 31.5	 143.8	 16.9	 17.8	 10.0	 -0.010	 -6999.0	 0.000	 0.6	
